n_steps,final_price,final_fundamental,final_mispricing_pct,max_abs_mispricing_pct,mean_abs_mispricing_pct,max_drawdown_pct,annualised_sharpe,mean_rolling_vol,total_margin_calls,total_defaults,n_crash_steps,n_bubble_steps,mean_avg_leverage,max_avg_leverage,peak_ponzi_pct,final_avg_wealth,final_gini,momentum_fraction,n_momentum,seed
500,118.85269023508826,98.6862072861845,20.43495591073035,43.27702670818764,17.181396099396476,-17.158811154415464,0.5780315216236478,0.010782390335282386,24,0,0,178,0.3162185307643164,0.7781757854495878,0.0,3031.6230481211905,0.49274193658335297,0.2,8,0
500,163.22697562750673,96.4819787177556,69.17871896575028,80.29457872376871,45.654347611613176,-20.624852125565553,1.3932049220161364,0.0111916424347437,25,0,0,459,0.36616479060988955,0.7456144973427424,0.0,4305.8578913186675,0.5777104608609296,0.2,8,1
500,185.04506176564635,112.3855362610731,64.65202544906154,75.00593315746157,42.67605454494452,-14.719259280843747,1.6667888677709366,0.011852321935076734,23,0,0,424,0.33874464233972706,0.7135234339906259,0.0,4152.267899047743,0.5758483355019375,0.2,8,2
500,87.70636678778361,116.96504604821529,-25.014891413260916,30.065274344138338,18.283785925743445,-33.92082388235342,-0.2809780600212218,0.010710063114432618,19,0,0,12,0.43228710510626567,0.6909028694464994,0.0,2169.745906622149,0.430946501072883,0.2,8,3
500,181.96335370526168,101.98854695052734,78.4154781551389,78.4154781551389,27.084875389554202,-9.924720674325453,1.720138044082127,0.011104053324444552,23,0,0,225,0.34440968919697446,0.8149438161688419,0.0,4095.029000535971,0.5625450914079877,0.2,8,4
500,174.33466046092093,96.51984557843728,80.62053395977212,80.62053395977212,34.9687301225579,-17.604961638247847,1.6071032496852662,0.011174117174308818,26,0,0,358,0.3574401380705575,0.6336689718877436,0.0,4729.175597143809,0.5494915761405523,0.2,8,5
500,132.34571953106882,101.3769293324617,30.548163573830667,50.399830458640736,21.05840614347663,-16.760182021211094,0.8233643984760973,0.01154294279820698,23,0,0,221,0.35097386990177,0.6352018635616391,0.0,3429.156489289441,0.540523303894999,0.2,8,6
500,110.70649934446061,96.03629304627756,15.275689880193344,61.09075646216105,26.739978805191768,-35.25390556991856,0.3686023295465028,0.011004252035657351,24,0,0,258,0.3604895426389792,0.7249416463405108,0.0,3066.9668185202386,0.49888741954991134,0.2,8,7
500,139.384391389236,93.30272815550411,49.389406017077356,65.40842137468681,34.09590678474543,-20.928768516997387,0.9991995374414402,0.011210455846355489,24,0,0,398,0.33701778673298227,0.7269128510400098,0.0,3421.198522866689,0.5122822324201513,0.2,8,8
500,127.02282955013243,86.60296223400616,46.67261520097832,56.4874003743534,23.88472939568037,-16.412702070520613,0.7358223493445986,0.011249808209624347,24,0,0,327,0.3339072159803686,0.7133166747629787,0.0,3315.8486180595405,0.5042070356159651,0.2,8,9
